kg,price
0.22899,4500
0.48235,5100
0.54,5000
0.60949,5410
0.61789,5250
0.6306,5350
0.65674,5800
0.67,5990
0.685,5999
0.74,6200
0.76025,6390
0.82029,6190
0.84,6600
0.89,6415
0.93,6500
0.975,6900
1.148,6740
1.398,6990
1.445,7490
1.505,7555
1.668,7990
1.76,7990
1.8553,7990
2.4,9050
